Temps;Y
0.395;0.0424194908700888
0.4;0.0823437175713484
0.405;0.122267944272608
0.41;0.152211114298553
0.415;0.207106926012785
0.42;0.247031152714044
0.425;0.281964851077646
0.43;0.321889077778906
0.435;0.351832247804851
0.44;0.39175647450611
0.445;0.43168070120737
0.45;0.466614399570972
0.455;0.506538626272232
0.46;0.536481796298177
0.465;0.571415494661779
0.47;0.601358664687723
0.475;0.636292363051326
0.48;0.661245004739613
0.485;0.6861976464279
0.49;0.716140816453845
0.495;0.741093458142132
0.5;0.766046099830419
0.505;0.786008213181049
0.51;0.810960854869336
0.515;0.825932439882309
0.52;0.840904024895281
0.525;0.855875609908253
0.53;0.870847194921226
0.535;0.885818779934198
0.54;0.895799836609513
0.545;0.905780893284828
0.55;0.910771421622485
0.555;0.915761949960143
0.56;0.915761949960143
0.565;0.9207524782978
0.57;0.915761949960143
0.575;0.915761949960143
0.58;0.915761949960143
0.585;0.90079036494717
0.59;0.895799836609513
0.595;0.895799836609513
0.6;0.880828251596541
0.605;0.855875609908253
0.61;0.850885081570596
0.615;0.830922968219966
0.62;0.810960854869336
0.625;0.790998741518707
0.63;0.771036628168077
0.635;0.746083986479789
0.64;0.72612187312916
0.645;0.701169231440872
0.65;0.676216589752585
0.655;0.641282891388983
0.66;0.611339721363038
0.665;0.581396551337094
0.67;0.546462852973491
0.675;0.516519682947547
0.68;0.481585984583945
0.685;0.446652286220342
0.69;0.41171858785674
0.695;0.376784889493138
0.7;0.331870134454221
0.705;0.291945907752961
0.71;0.257012209389359
0.715;0.2170879826881
0.72;0.17716375598684
0.725;0.142230057623238
0.73;0.0973153025843208
0.735;0.0573910758830611
0.74;0.0174668491818015
0.745;-0.0274479058571155
0.75;-0.0673721325583752
0.755;-0.107296359259635
0.76;-0.147220585960894
0.765;-0.187144812662154
0.77;-0.227069039363414
0.775;-0.266993266064673
0.78;-0.306917492765933
0.785;-0.341851191129535
0.79;-0.376784889493137
0.795;-0.411718587856739
0.8;-0.451642814557999
0.805;-0.481585984583944
0.81;-0.511529154609888
0.815;-0.54646285297349
0.82;-0.576406022999435
0.825;-0.611339721363037
0.83;-0.636292363051325
0.835;-0.666235533077269
0.84;-0.691188174765557
0.845;-0.716140816453844
0.85;-0.736102929804474
0.855;-0.756065043155103
0.86;-0.776027156505733
0.865;-0.790998741518706
0.87;-0.810960854869335
0.875;-0.825932439882308
0.88;-0.835913496557623
0.885;-0.845894553232938
0.89;-0.855875609908253
0.895;-0.865856666583567
0.9;-0.865856666583567
0.905;-0.875837723258882
0.91;-0.875837723258882
0.915;-0.875837723258882
0.92;-0.870847194921225
0.925;-0.870847194921225
0.93;-0.86086613824591
0.935;-0.855875609908253
0.94;-0.84090402489528
0.945;-0.835913496557623
0.95;-0.825932439882308
0.955;-0.805970326531678
0.96;-0.790998741518706
0.965;-0.771036628168076
0.97;-0.751074514817446
0.975;-0.736102929804474
0.98;-0.721131344791501
0.985;-0.686197646427899
0.99;-0.656254476401954
0.995;-0.62631130637601
1;-0.60634919302538
1.005;-0.576406022999435
1.01;-0.541472324635833
1.015;-0.511529154609888
1.02;-0.476595456246286
1.025;-0.441661757882684
1.03;-0.406728059519082
1.035;-0.37179436115548
1.04;-0.33187013445422
1.045;-0.296936436090618
1.05;-0.252021681051701
1.055;-0.217087982688099
1.06;-0.177163755986839
1.065;-0.137239529285579
1.07;-0.0973153025843199
1.075;-0.0573910758830602
1.08;-0.00249526416882828
1.085;0.022457377519459
1.09;0.067372132558376
1.095;0.107296359259636
1.1;0.147220585960895
1.105;0.187144812662155
1.11;0.227069039363414
1.115;0.266993266064674
1.12;0.301926964428276
1.125;0.341851191129536
1.13;0.376784889493138
1.135;0.416709116194398
1.14;0.446652286220342
1.145;0.491567041259259
1.15;0.526500739622862
1.155;0.556443909648806
1.16;0.591377608012408
1.165;0.621320778038353
1.17;0.64627341972664
1.175;0.676216589752585
1.18;0.70615975977853
1.185;0.731112401466817
1.19;0.756065043155104
1.195;0.781017684843392
1.2;0.800979798194021
1.205;0.825932439882309
1.21;0.840904024895281
1.215;0.850885081570596
1.22;0.870847194921226
1.225;0.880828251596541
1.23;0.895799836609513
1.235;0.905780893284828
1.24;0.910771421622485
1.245;0.915761949960143
1.25;0.9207524782978
1.255;0.910771421622485
1.26;0.925743006635458
